"KEY","en","notes","sp","fr","de","it","pt-br"
"CURRENT_LANGUAGE_NAME","繁體中文","put ""espanol"" in the spanish column, ""francois"" in the french one, etc. Limited text box space so abbreviate if necessary","Español","Français","Deutsch","Italiano","Português (Brasil)"
"CURRENT_LANGUAGE_SHIPPABLE","yes","put ""yes"" if the language is shippable and ""no"" if its not ready yet. this is not displayed, just used to determine if the language should show in the UI selector","yes","yes","yes","yes","yes"
"","","","","","","",""
"SONG_UNLOCK_CREDITS_1","「Get in the Cage」已加入電台播放清單！","","¡Se ha añadido «Get in the Cage» a la lista de la radio!","«&nbsp;L'entrée en cage&nbsp;» est dispo dans la liste de lecture radio&nbsp;!","„Get in the Cage“ kann jetzt im Radio laufen!","""Get in the Cage"" è ora nella playlist della radio!","""Get in the Cage"" foi adicionada à lista de reprodução de rádio!"
"SONG_UNLOCK_CREDITS_2","「Future Meets the Past」已加入電台播放清單！","","¡Se ha añadido «Future Meets the Past» a la lista de la radio!","«&nbsp;Le futur face au passé&nbsp;» est dispo dans la liste de lecture radio&nbsp;!","„Future Meets the Past“ kann jetzt im Radio laufen!","""Future Meets the Past"" è ora nella playlist della radio!","""Future Meets the Past"" foi adicionada à lista de reprodução de rádio!"
"","","","","","","",""
"","","","","","","",""
"CONTROL_BINDING_UNKNOWN","未知","","Desconocido","Inconnu","Unbekannt","Sconosciuto","Desconhecido"
"CONTROL_BINDING_ANY","任意按鈕","","Cualquier botón","N'importe quelle touche","Beliebige Taste","Qualsiasi pulsante","Qualquer botão"
"CONTROL_BINDING_LEFTCLICK","左鍵","","Clic izquierdo","Clic gauche","Linksklick","Clic sinistro","Botão esquerdo do mouse"
"CONTROL_BINDING_RIGHTCLICK","右鍵","","Clic derecho","Clic droit","Rechtsklick","Clic destro","Botão direito do mouse"
"CONTROL_BINDING_MIDDLECLICK","中鍵","","Clic central","Clic molette","Mittlere Maustaste","Clic centrale","Botão do meio do mouse"
"CONTROL_BINDING_MOUSE4","滑鼠4","","Ratón 4","Clic&nbsp;4","Maus 4","Mouse 4","Mouse 4"
"CONTROL_BINDING_MOUSE5","滑鼠5","","Ratón 5","Clic&nbsp;5","Maus 5","Mouse 5","Mouse 5"
"CONTROL_BINDING_MOUSEX","滑鼠","","Ratón","Souris","Maus","Mouse","Mouse"
"CONTROL_BINDING_MOUSEY","滑鼠","","Ratón","Souris","Maus","Mouse","Mouse"
"CONTROL_BINDING_MOUSEWHEELX","滾輪","","Rueda del ratón","Molette","Mausrad","Rotellina del mouse","Roda do mouse"
"CONTROL_BINDING_MOUSEWHEELY","滾輪","","Rueda del ratón","Molette","Mausrad","Rotellina del mouse","Roda do mouse"
"CONTROL_BINDING_NONE","","purposely empty","","","","",""
"","","","","","","",""
"ENEMY_FATWOMAN_DESC","Melee attacker with Knockback.
反射s projectiles. Units that contact it get knocked back.
Trample.","","Atacante cuerpo a cuerpo con retroceso.
Devuelve los proyectiles. Las unidades que entran en contacto retroceden.
Pisotón.","Attaque au corps à corps avec Recul.
Renvoie les projectiles. Les unités qui le touchent sont repoussées.
Piétinement.","Nahkämpferin mit Rückstoß.
Reflektiert Geschosse. Einheiten, die sie berühren, werden zurückgestoßen.
Trampel.","Attaccante corpo a corpo con Contraccolpo.
Riflette i proiettili. Le unità che la colpiscono vengono respinte indietro.
Calpestamento.","Agressor corpo-a-corpo com empurrão
Reflete projéteis. Unidades que atacam ou entram em contato são empurradas.
Atropelamento."
"EABILITY_BIRTH_NAME","誕生","","Nacimiento","Naissance","Gebären","Nascita","Nascimento"
"","","","","","","",""
"SPECIAL_STRAY_BUNNY","兔子","","Conejito","Lapin","Hase","Coniglietto","Coelho"
"SPECIAL_STRAY_BEAVER","河狸","","Castor","Castor","Biber","Castoro","Castor"
"SPECIAL_STRAY_PIG","豬","","Cerdo","Cochon","Schwein","Maiale","Porco"
"SPECIAL_STRAY_DOG","狗","","Perro","Chien","Hund","Cane","Cachorro"
"SPECIAL_STRAY_SKUNK","臭鼬","","Mofeta","Mouffette","Stinktier","Puzzola","Gambá"
"SPECIAL_STRAY_PORCUPINE","豪豬","","Puercoespín","Porc-épic","Stacheltier","Porcospino","Porco-Espinho"
"SPECIAL_STRAY_ISAAC","以撒","","Isaac","Isaac","Isaac","Isaac","Isaac"
"SPECIAL_STRAY_EDMUND","艾德蒙","","Edmund","Edmund","Edmund","Edmund","Edmund"
"SPECIAL_STRAY_TYLER","泰勒","","Tyler","Tyler","Tyler","Tyler","Tyler"
"SPECIAL_STRAY_FIJIMERMAID","斐濟美人魚","","Sirena de Fiyi","Sirène des Fidji","Fidschi-Meerjungfrau","Sirena delle Fiji","Sereia de Fiji"
"SPECIAL_STRAY_JERSEYDEVIL","澤西惡魔","","Demonio de Jersey","Diable du Jersey","Jersey Devil","Diavolo del Jersey","Demônio de Jersey"
