"KEY","en","notes","sp","fr","de","it","pt-br"
"//cat quotes","","","","","","",""
"CAT_VS_BOSS_QUOTES_FIGHTER_1","我要揍爆你那張蠢到不行的白癡臉！","","¡Te voy a quitar esa cara de panoli de un guantazo!","Ta propre mère te reconnaîtra même plus&nbsp;!","Ich schlag dir deine dumme blöde Fresse ein!","Prenderò a pugni quella tua stupida faccia da idiota!","Eu vou socar essa sua cara idiota!"
"CAT_VS_BOSS_QUOTES_FIGHTER_2","砰砰砰猛揍！","","¡Menos ladrar y más pelear!","Bim, bam, boum&nbsp;!","Stirb! Zeit zu sterben!","Bung bang!","Bate bate!"
"CAT_VS_BOSS_QUOTES_FIGHTER_3","衝啊啊啊啊！","","¡Arreaaaando!","C'est partiiiii&nbsp;!","Alarm! ALARM!","ANDIAMOOOOO!","VAMOOOOOOSS!"
"CAT_VS_BOSS_QUOTES_FIGHTER_4","我也許笨，但我可不蠢！","","Puede que sea idiota, pero no soy gilipuertas.","J'suis un peu bête, mais pas stupide&nbsp;!","Ich bin vielleicht dumm, aber blöd bin ich nicht!","Sarò pure idiota, ma non sono mica imbecille!","Eu posso ser imbecil, mas não idiota!"
"CAT_VS_BOSS_QUOTES_FIGHTER_5","我是來踢爛你、順便嚼泡泡糖的！","","He venido a repartir leña y a mascar chicle.","Il est temps de botter des culs et de mâcher du chewing-gum, et je n'ai plus de chewing-gum&nbsp;!","Ich rasier euch!","Sono qui per masticare chewing gum e spaccare culi!","Eu estou aqui para chutar traseiros e mascar chiclete!"
"CAT_VS_BOSS_QUOTES_FIGHTER_6","我越來越火大啦！","","¡SE ME ESTÁN HINCHANDO LOS MORROS!","JE SUIS CARRÉMENT VÉNÈRE&nbsp;!","ICH BIN SO VERDAMMT SAUER!","MI STO ARRABBIANDO SEMPRE DI PIÙ!","EU ESTOU ME IRRITANDO AINDA MAIS!"
"CAT_VS_BOSS_QUOTES_FIGHTER_7","這個我來處理……","","Yo me encargo...","Je vais m'occuper de ton cas...","Ich kümmere mich drum&nbsp;…","Me ne occupo io...","Eu cuido disso..."
"CAT_VS_BOSS_QUOTES_FIGHTER_8","我要吃掉你的小孩！","","¡Me zamparé a tus hijos!","Je vais bouffer tes morts&nbsp;!","Ich fresse deine Kinder auf!","Mangerò i tuoi figli!","Eu vou devorar sua prole!"
"CAT_VS_BOSS_QUOTES_FIGHTER_9","我會完成我的復仇！","","¡Me vengaré!","J'aurai ma vengeance&nbsp;!","Die Rache wird mein sein!","Avrò la mia vendetta!","Eu terei minha vingança!"
