"KEY","en","notes","sp","fr","de","it","pt-br"
"//weapons","","","","","","",""
"ITEM_22RIFLE_NAME",".22步槍","","Fusil calibre 22","Carabine .22","Kleinkaliber","Fucile .22","Rifle .22"
"ITEM_22RIFLE_DESC","使用：在你的視線範圍內任意位置開一槍。","","Uso: Dispara un proyectil a cualquier parte del campo visual.","Utilisation&nbsp;: tire sur n'importe quelle cible dans votre ligne de mire.","Benutzen: Schieße auf ein Ziel in deiner Sichtlinie.","Uso: Spari un colpo in qualsiasi punto entro il tuo campo visivo.","Uso: realize um disparo em qualquer lugar dentro do seu campo de visão."
"ITEM_ALIENBLASTER_NAME","外星爆能槍","","Desintegrador extraterrestre","Flingue extraterrestre","Alienblaster","Blaster Alieno","Blaster Alienígena"
"ITEM_ALIENBLASTER_DESC","使用：雷射攻擊。每次使用後，本場戰鬥其傷害 +1。","","Uso: Lanza un ataque láser. Obtiene +1 de daño durante el resto del combate cada vez que se dispara.","Utilisation&nbsp;: une attaque laser. Dégâts +1&nbsp;à chaque utilisation durant ce combat.","Benutzen: Ein Laserangriff. Erhält für den Rest des Kampfes jedes Mal +1&nbsp;Schaden, wenn er benutzt wird.","Uso: Un attacco laser. Ottieni +1 al Danno per il resto della battaglia ogni volta che viene utilizzato.","Uso: um ataque a laser. Obtém +1 de dano pelo resto da batalha a cada vez que for usada."
"ITEM_ALIENTECH_NAME","外星科技","","Tecnología extraterrestre","Technologie extraterrestre","Alientechnologie","Tecnologia Aliena","Tecnologia Alienígena"
"ITEM_ALIENTECH_DESC","使用：指定一個區域。在你下回合開始時，對該區域釋放超能光束攻擊。`n[s:.7](每場戰鬥可用一次。)[/s]","","Uso: Marca como objetivo una zona y lanza un ataque con hiperrayo al inicio del siguiente turno.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: lance une énorme attaque laser sur la zone sélectionnée au début de votre prochain tour.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Wähle einen Zielbereich. Entfessle am Anfang deines nächsten Zuges einen Hyperstrahlangriff in diesem Bereich.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Seleziona un'area bersaglio. Scateni un attacco a iper-raggio in quell'area all'inizio del tuo prossimo turno.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: mire em uma área. Libere um ataque de hiper raio nessa área no início do seu próximo turno.
[s:.7](Um uso por batalha.)[/s]"
"ITEM_AMERICANFLAG_NAME","美國國旗","","Barras y estrellas","Drapeau états-unien","Amerikaflagge","Bandiera Americana","Bandeira Americana"
"ITEM_AMERICANFLAG_DESC","使用：強制一個單位攻擊其敵人之一。`n[s:.7](每場戰鬥可用一次。)[/s]","","Uso: Obliga a una unidad a atacar a uno de los enemigos.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: contraint une unité à attaquer un de ses ennemis.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Zwinge eine Einheit, einen ihrer Gegner anzugreifen.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Costringi un'unità ad attaccare uno dei suoi nemici.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: force uma unidade a atacar um de seus inimigos.
[s:.7](Um uso por batalha.)[/s]"
"ITEM_ANARCHISTCOOKBOOK_NAME","無政府主義食譜","","Recetario anarquista","B.a.-ba de l'anarchiste","Anarchist Cookbook","Ricettario Anarchico","Manual Anarquista"
