"KEY","en","notes","sp","fr","de","it","pt-br"
"//misc","","","","","","",""
"AREA_NAME_TUTORIAL","道路","","El camino","La Route","Der Trampelpfad","Il Sentiero","O Caminho"
"AREA_NAME_HOUSE","家","","Casa","La Maison","Dein Haus","Casa","Casa"
"AREA_NAME_ALLEY","巷弄","","El callejón","La Ruelle","Die Gasse","Il Vicolo","O Beco"
"AREA_NAME_SEWERS","下水道","","Las alcantarillas","Les Égouts","Die Kanalisation","Le Fogne","O Esgoto"
"AREA_NAME_JUNKYARD","廢車場","","El desguace","La Décharge","Der Schrottplatz","La Discarica","O Ferro-Velho"
"AREA_NAME_CAVES","洞窟","","Las cuevas","Les Grottes","Die Höhlen","Le Caverne","As Cavernas"
"AREA_NAME_BONEYARD","骸骨墓地","","El cementerio","Le Cimetière","Der Friedhof","Il Cimitero","O Cemitério"
"AREA_NAME_MEATWORLD","搏動領域","","El Dominio Palpitante","Le Domaine lancinant","Das Pulsierende Reich","Il Regno Pulsante","O Domínio Pulsante"
"AREA_NAME_DESERT","沙漠","","El desierto","Le Désert","Die Wüste","Il Deserto","O Deserto"
"AREA_NAME_CRATER","隕坑","","El cráter","Le Cratère","Der Krater","Il Cratere","A Cratera"
"AREA_NAME_BUNKER","地堡","","El búnker","Le Bunker","Der Bunker","Il Bunker","O Bunker"
"AREA_NAME_MOON","月球","","La luna","La Lune","Der Mond","La Luna","A Lua"
"AREA_NAME_CORE","核心","","El núcleo","Le Noyau","Der Kern","Il Nucleo","O Núcleo"
"AREA_NAME_DIMENSIONX","裂隙","","La Grieta","La Faille","Der Riss","La Fenditura","A Fissura"
"AREA_NAME_LAB","實驗室","","El laboratorio","Le Labo","Das Labor","Il Laboratorio","O Laboratório"
"AREA_NAME_ICEAGE","冰河時代","","La Edad de Hielo","L'Âge de glace","Die Eiszeit","L'Era Glaciale","A Era do Gelo"
"AREA_NAME_JURASSIC","侏羅紀","","El Jurásico","Le Jurassique","Der Jura","Il Giurassico","O Jurássico"
"AREA_NAME_FUTURE","未來","","Das Füture","Das Füture","Die Zukunft","Das Füture","Das Füture"
"AREA_NAME_THEEND","終點","","El fin","La Fin","Das Ende","La Fine","O Fim"
"AREA_NAME_ENDOFTIME","無限","","El infinito","L'Infini","Die Unendlichkeit","L'Infinito","O Infinito"
"AREA_NAME_UNKNOWN","某處","","Algún lugar","L'Ailleurs","Irgendwo","Da Qualche Parte","Algum Lugar"
"SAVE_FILE_NO_DATA","無資料","","Sin datos","Aucune donnée","Keine Daten","Nessun dato","Sem Dados"
"","","","","","","",""
"SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_1","與 Guillotina 戰鬥中","","Luchando contra Guillotina","Affrontement&nbsp;: Guillotina","Kampf mit Guillotina","Combattimento contro Guillotina","Enfrentando Guilhotina"
"SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_2","與 Guillotina 戰鬥中","","Luchando contra Guillotina","Affrontement&nbsp;: Guillotina","Kampf mit Guillotina","Combattimento contro Guillotina","Enfrentando Guilhotina"
"SAVE_FILE_FIGHT_HOUSEBOSS_GUILLOTINA_3","與 Guillotina 戰鬥中","","Luchando contra Guillotina","Affrontement&nbsp;: Guillotina","Kampf mit Guillotina","Combattimento contro Guillotina","Enfrentando Guilhotina"
"SAVE_FILE_FIGHT_HOUSEBOSS_PYROPHINA","與 Pyrophina 戰鬥中","","Luchando contra Pyrophina","Affrontement&nbsp;: Pyrophina","Kampf mit Pyrophina","Combattimento contro Pyrophina","Enfrentando Pyrophina"
"SAVE_FILE_FIGHT_HOUSEBOSS_ZARATANA","與 Zaratana 戰鬥中","","Luchando contra Zaratana","Affrontement&nbsp;: Zaratana","Kampf mit Zaratana","Combattimento contro Zaratana","Enfrentando Zaratana"
"SAVE_FILE_FIGHT_HOUSEBOSS_KAIJUFIGHT","正在觀戰怪獸互毆","","Viendo cómo unos kaijus se lían a tortas","Regarde des kaijus se castagner","Kampf zwei riesiger Kaijus","Mentre guardi dei kaiju che se le danno di santa ragione","Vendo alguns kaijus acertarem as contas"
"SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_1","與 C-800 戰鬥中","","Luchando contra el C-800","Affrontement&nbsp;: C-800","Kampf mit dem C-800","Combattimento contro il C-800","Enfrentando G-800"
"SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_2","與 C-1000 戰鬥中","","Luchando contra el C-1000","Affrontement&nbsp;: C-1000","Kampf mit dem C-1000","Combattimento contro il C-100","Enfrentando G-1000"
"SAVE_FILE_FIGHT_HOUSEBOSS_TERMINATOR_3","與希特勒機器人大軍戰鬥中","","Luchando contra el ejército de robots de Hitler","Affrontement&nbsp;: armée de robots hitlériens","Kampf mit Hitlers Roboterarmee","Combattimento contro l'esercito di robot di Hitler","Enfrentando o exército robótico de Hitler"
"","","","","","","",""
"AREA_NAME_ALLEY_BANNER","巷弄","","EL CALLEJÓN","RUELLE","DIE GASSE","IL VICOLO","O BECO"
