"KEY","en","notes","sp","fr","de","it","pt-br"
"PASSIVE_SELFASSURED_NAME","自信","","Confianza","Assurance","Selbstsicher","Autostima","Autoconfiança"
"PASSIVE_SELFASSURED_DESC","每當你擊倒一個單位時，獲得一項隨機屬性提升。","","Obtiene aumento de un atributo al azar cuando abate a una unidad.","Stat aléatoire&nbsp;+1&nbsp;quand vous tuez une unité.","Erhalte einen Bonus auf ein zufälliges Attribut, wenn du eine Einheit besiegst.","Ottieni un aumento casuale di una statistica ogni volta che mandi KO un'unità.","Obtenha um atributo aleatório aumentado ao deixar uma unidade inconsciente."
"PASSIVE_SELFASSURED2_DESC","每當你擊倒一個單位時，獲得全屬性提升。","","Obtiene aumento total cuando abate a una unidad.","Hausse de stats quand vous tuez une unité.","Erhalte einen Bonus auf alle Attribute, wenn du eine Einheit besiegst.","Ottieni Aumento delle Statistiche ogni volta che mandi KO un'unità.","Obtenha todos os atributos aumentados ao deixar uma unidade inconsciente."
"PASSIVE_LUCKDRAIN_NAME","幸運汲取","","Chupasuerte","Drain de chances","Glück absaugen","Carico di Fortuna","Dreno de Sorte"
"PASSIVE_LUCKDRAIN_DESC","每當有單位倒地時，獲得 +1 [img:lck]。","","Obtiene +1 [img:lck] cuando una unidad es abatida.","[img:lck]&nbsp;+1&nbsp;quand une unité est abattue.","Erhalte +1&nbsp;[img:lck], wenn eine Einheit besiegt wird.","Ottieni +1 alla [img:lck] ogni volta che un'unità viene messa KO.","Obtenha +1 de [img:lck] sempre que uma unidade ficar inconsciente."
"PASSIVE_LUCKDRAIN2_DESC","每當有單位倒地時，獲得 +1 [img:lck]。`n每當「你」擊倒單位時，額外獲得 +2 [img:lck]。","","Obtiene +1 [img:lck] cuando una unidad es abatida.
Obtiene +2 [img:lck] extra cuando es esta unidad la que abate a otra.","[img:lck]&nbsp;+1&nbsp;quand une unité est abattue. [img:lck]&nbsp;+2&nbsp;supplémentaires quand VOUS tuez une unité.","Erhalte +1&nbsp;[img:lck], wenn eine Einheit besiegt wird.
Erhalte zusätzlich +2&nbsp;[img:lck], wenn DU eine Einheit besiegst.","Ottieni +1 alla [img:lck] ogni volta che un'unità viene messa KO.
Ottieni un ulteriore +2 alla [img:lck] ogni volta che TU mandi KO un'unità.","Obtenha +1 de [img:lck] sempre que uma unidade ficar inconsciente.
Obtenha +2 de [img:lck] adicionais sempre que VOCÊ deixar uma unidade inconsciente."
"PASSIVE_INFESTED_NAME","寄生","","Infestación","Infestation","Verseucht","Infestazione","Infestação"
"PASSIVE_INFESTED_DESC","回合結束時有 50% 機率召喚一隻跳蚤使魔。","","50 % de probabilidad de generar un familiar pulga al final del turno.","50&nbsp;% de chances de faire apparaître une puce de compagnie à la fin de votre tour.","50%ige Wahrscheinlichkeit, dass ein Flohbegleiter erscheint, wenn du deinen Zug beendest.","50% di probabilità di generare un famiglio pulce alla fine del tuo turno.","50% de chance de gerar um familiar pulga ao finalizar seu turno."
"PASSIVE_INFESTED2_DESC","每場戰鬥開始時召喚 2-3 隻跳蚤。`n回合結束時有 50% 機率召喚一隻跳蚤使魔。","","Genera 2-3 pulgas al inicio de cada combate.
50 % de probabilidad de generar un familiar pulga al final del turno.","Fait apparaître 2&nbsp;à 3&nbsp;puces au début de chaque combat. 50&nbsp;% de chances de faire apparaître une puce de compagnie à la fin de votre tour.","Lasse am Anfang jedes Kampfes 2&nbsp;– 3 Flöhe erscheinen.
50%ige Wahrscheinlichkeit, dass ein Flohbegleiter erscheint, wenn du deinen Zug beendest.","Generi 2-3 pulci all'inizio di ogni battaglia.
50% di probabilità di generare un famiglio Pulce alla fine del tuo turno.","Gere 2-3 pulgas no início de cada batalha.
50% de chance de gerar um familiar pulga ao finalizar seu turno."
"PASSIVE_WORMS_NAME","蟲群","","Lombrices","Asticots","Madig","Vermi","Vermes"
