"KEY","en","notes","sp","fr","de","it","pt-br"
"TEAMNAME_FORMAT","{Adjective}{Nouns}","one adjective and one noun are chosen at random. If this is impossible to make work in a language, then just change the format to say ""The Cats"", or make the adjectives empty and randomize some teamnames in the Noun slots","Los {Nouns} {Adjective}","Les {Nouns} {Adjective}","Die {Adjective} {Nouns}","{Nouns} {Adjective}","Os {Nouns} {Adjective}"
"TEAMNAME_FORMAT2","{Adjective}{Nouns}","if the adjective is prepended with ""format2|"" then the team name will use this format instead of the default one","{Nouns} {Adjective}","{Nouns} {Adjective}","Die {Adjective}-{Nouns}","{Adjective} {Nouns}","{Nouns} {Adjective}"
"","","if more than 2 formats are needed for a language, I can add more (just let me know).","","","","",""
"","","nouns may be prepended with the text ""singular|"" (ex if the noun is Team or Sqaud instead of Cats). This changes the grammar in the embark/return/fail cutscenes (ex: ""{Teamname} Returns Home"" vs {Teamname} Return Home"")","","","","",""
"TEAMNAME_ADJECTIVE_FIGHTER0","強壯的","these do not need to be strictly literal translations, you can be creative with them","Fuertes","forts|fortes","Starken","Forti","Fortes"
"TEAMNAME_ADJECTIVE_FIGHTER1","笨笨的","","Tontos","idiots|idiotes","Blöden","Tontoloni|Tontolone","Burros"
"TEAMNAME_ADJECTIVE_FIGHTER2","強力的","","Poderosos","puissants|puissantes","Garstigen","Potenti","Poderosos"
"TEAMNAME_ADJECTIVE_FIGHTER3","剛猛的","","Imponentes","vaillants|vaillantes","Mächtigen","Possenti","Potentes"
"TEAMNAME_ADJECTIVE_FIGHTER4","菁英","","de Élite","d'élite","format2|Elite","D'élite","de Elite"
"TEAMNAME_ADJECTIVE_FIGHTER5","壯碩","","Cachas","musclés|musclées","Pumpenden","Pompati|Pompate","Inchados"
"TEAMNAME_ADJECTIVE_FIGHTER6","阿爾法","","Alfa","mâles alpha|femelles alpha","format2|Alpha","Alfa","Alfas"
"TEAMNAME_ADJECTIVE_FIGHTER7","拳擊型","","Contundentes","percutants|percutantes","Schlagfertigen","Bizzosi|Bizzose","Impactantes"
"TEAMNAME_ADJECTIVE_FIGHTER8","挫傷d","","Magullados","amochés|amochées","Verprellten","Lividi|Livide","Contundidos"
"TEAMNAME_ADJECTIVE_FIGHTER9","好戰的","","Peleones","bagarreurs|bagarreuses","Kriegerischen","Rissosi|Rissose","Lutadores"
"TEAMNAME_ADJECTIVE_FIGHTER10","硬派","","Duros","balèzes","Zähen","Duri|Dure","Resistentes"
"TEAMNAME_ADJECTIVE_FIGHTER11","自負的","","Fanfarrones","prétentieux|prétentieuses","Frechen","Spavaldi|Spavalde","Arrogantes"
"TEAMNAME_ADJECTIVE_FIGHTER12","遲鈍的","","Atontados","bêtes","Zurückgebliebenen","Ottusi|Ottuse","Escuros"
"TEAMNAME_ADJECTIVE_FIGHTER13","陰鬱的","","Amenazadores","menaçants|menaçantes","Grüblerischen","Cupi","Melancólicos"
"TEAMNAME_ADJECTIVE_HUNTER0","耐心的","","Pacientes","patients|patientes","Geduldigen","Pazienti","Pacientes"
"TEAMNAME_ADJECTIVE_HUNTER1","精準的","","Precisos","précis|précises","Peniblen","Precisi|Precise","Precisos"
"TEAMNAME_ADJECTIVE_HUNTER2","專注的","","Concentrados","concentrés|concentrées","Konzentrierten","Concentrati|Concentrate","Concentrados"
"TEAMNAME_ADJECTIVE_HUNTER3","神射手","","Certeros","flingueurs|flingueuses","Adleräugigen","Attenti|Attente","Atiradores de Elite"
"TEAMNAME_ADJECTIVE_HUNTER4","髒毛的","","Sarnosos","galeux|galeuses","Räudigen","Rognosi|Rognose","Improvisados"
"TEAMNAME_ADJECTIVE_HUNTER5","寄生","","Infestados","infestés|infestées","Infizierten","Infestati|Infestate","Infestados"
